coding_interest,writing_interest,design_interest,law_interest,medical_interest,math_comfort,empathy,public_speaking,problem_solving,creativity,biology_interest,portfolio_preference,work_environment,subject_preference,top1,top2,top3
1,0,0,0,0,8,3,8,10,6,10,5,0,Science,Software Engineer,AI Engineer,Cloud Engineer
1,0,0,0,0,6,9,8,7,4,5,9,0,Arts,Software Engineer,Pharmacist,UI/UX Designer
1,0,0,0,0,5,4,10,8,8,3,2,1,Commerce,Software Engineer,Editor,Cybersecurity Analyst
1,0,0,0,0,3,5,10,6,7,2,2,1,Arts,Software Engineer,Editor,Neurologist
1,0,0,0,0,4,6,8,5,9,4,3,0,Science,Software Engineer,Marketing Manager,Accountant
1,0,0,0,0,5,8,10,3,6,3,10,0,Science,Software Engineer,Physiotherapist,Judge
1,0,0,0,0,6,10,5,3,10,6,8,1,Arts,Software Engineer,UI/UX Designer,Legal Advisor
1,0,0,0,0,9,8,6,5,4,9,4,0,Commerce,Software Engineer,Data Scientist,Content Writer
1,0,0,0,0,4,8,6,8,5,5,3,1,Arts,Software Engineer,Author,Entrepreneur
1,0,0,0,0,9,9,6,10,7,7,2,0,Commerce,Software Engineer,Pharmacist,Dentist
1,0,0,0,0,8,8,9,6,8,4,6,0,Commerce,Software Engineer,Doctor,Dentist
1,0,0,0,0,4,5,5,4,10,1,1,1,Arts,Software Engineer,Dentist,Doctor
1,0,0,0,0,5,6,4,4,5,8,6,1,Science,Software Engineer,Animator,Author
1,0,0,0,0,5,7,4,5,10,10,6,0,Arts,Software Engineer,Physiotherapist,Web Developer
1,0,0,0,0,6,5,3,9,10,6,6,1,Science,Software Engineer,Accountant,Copywriter
1,0,0,0,0,8,8,5,3,4,10,7,0,Science,Software Engineer,Cloud Engineer,Software Engineer
1,0,0,0,0,6,3,6,7,7,5,1,1,Science,Software Engineer,Content Writer,Web Developer
1,0,0,0,0,8,5,6,4,6,5,7,1,Arts,Software Engineer,Author,Web Developer
1,0,0,0,0,7,8,9,3,6,5,8,0,Commerce,Software Engineer,Fashion Designer,Psychiatrist
1,0,0,0,0,10,6,8,3,9,8,8,1,Commerce,Software Engineer,Dentist,Lawyer
1,0,0,0,0,3,9,7,5,5,2,3,1,Arts,Software Engineer,UI/UX Designer,Graphic Designer
1,0,0,0,0,8,3,5,9,9,7,9,0,Arts,Software Engineer,Pharmacist,Cybersecurity Analyst
1,0,0,0,0,5,3,5,6,10,5,5,1,Commerce,Software Engineer,Manager,Graphic Designer
1,0,0,0,0,5,10,3,9,7,10,9,0,Science,Software Engineer,Radiologist,Manager
1,0,0,0,0,3,10,5,6,10,1,6,0,Science,Software Engineer,UI/UX Designer,Cloud Engineer
1,0,0,0,0,10,3,9,5,5,8,5,0,Arts,Software Engineer,Data Scientist,Legal Advisor
1,0,0,0,0,5,5,5,10,8,8,7,1,Science,Software Engineer,Radiologist,Fashion Designer
1,0,0,0,0,3,8,4,7,10,2,4,0,Science,Software Engineer,Doctor,Editor
1,0,0,0,0,10,7,9,4,10,7,9,1,Commerce,Software Engineer,Business Analyst,Judge
1,0,0,0,0,6,8,5,8,9,8,10,1,Commerce,Software Engineer,Software Engineer,Lawyer
1,0,0,0,0,3,9,9,10,5,2,3,0,Arts,Software Engineer,Doctor,Graphic Designer
1,0,0,0,0,4,4,7,10,6,4,10,1,Arts,Software Engineer,Fashion Designer,Judge
1,0,0,0,0,5,3,6,7,7,9,1,0,Arts,Software Engineer,Pharmacist,Cybersecurity Analyst
1,0,0,0,0,6,10,7,9,8,6,2,1,Arts,Software Engineer,Lawyer,AI Engineer
1,0,0,0,0,6,4,7,9,7,1,10,0,Arts,Software Engineer,Corporate Lawyer,Psychiatrist
1,0,0,0,0,4,8,10,6,8,8,7,1,Science,Software Engineer,Radiologist,Public Prosecutor
1,0,0,0,0,8,6,10,7,8,6,5,1,Science,Software Engineer,Journalist,Entrepreneur
1,0,0,0,0,10,9,5,6,8,2,6,1,Arts,Software Engineer,Data Scientist,Lawyer
1,0,0,0,0,4,5,9,6,8,8,5,1,Science,Data Scientist,Accountant,Web Developer
1,0,0,0,0,7,9,7,5,6,3,3,0,Science,Data Scientist,Content Writer,Lawyer
1,0,0,0,0,8,3,5,8,9,3,10,0,Commerce,Data Scientist,Business Analyst,Doctor
1,0,0,0,0,9,8,5,7,3,4,3,1,Commerce,Data Scientist,Psychiatrist,Public Prosecutor
1,0,0,0,0,5,8,6,6,10,8,4,0,Science,Data Scientist,Legal Advisor,Cloud Engineer
1,0,0,0,0,8,7,4,3,9,1,4,0,Science,Data Scientist,Neurologist,Physiotherapist
1,0,0,0,0,8,10,3,4,4,6,6,0,Science,Data Scientist,Neurologist,AI Engineer
1,0,0,0,0,5,9,10,7,8,5,7,0,Commerce,Data Scientist,Psychiatrist,Product Designer
1,0,0,0,0,6,10,9,3,9,3,4,1,Science,Data Scientist,Accountant,Graphic Designer
1,0,0,0,0,10,5,10,7,3,2,1,1,Science,Data Scientist,Cloud Engineer,Doctor
1,0,0,0,0,10,10,9,9,3,1,1,0,Arts,Data Scientist,Product Designer,Physiotherapist
1,0,0,0,0,8,10,5,8,7,3,7,1,Commerce,Data Scientist,Copywriter,Physiotherapist
1,0,0,0,0,8,9,10,6,3,4,6,0,Commerce,Data Scientist,Editor,Journalist
1,0,0,0,0,3,3,4,6,4,10,6,1,Arts,Data Scientist,Doctor,Physiotherapist
1,0,0,0,0,4,3,9,4,7,9,1,1,Arts,Data Scientist,Accountant,AI Engineer
1,0,0,0,0,6,8,4,7,8,9,1,1,Commerce,Data Scientist,Data Scientist,UI/UX Designer
1,0,0,0,0,8,9,9,10,9,1,10,0,Science,Data Scientist,Lawyer,Marketing Manager
1,0,0,0,0,10,4,4,7,6,3,10,0,Arts,Data Scientist,Business Analyst,Corporate Lawyer
1,0,0,0,0,10,4,9,8,10,10,4,0,Commerce,Data Scientist,Neurologist,Corporate Lawyer
1,0,0,0,0,6,4,9,5,5,1,1,1,Commerce,Data Scientist,Nurse,Cybersecurity Analyst
1,0,0,0,0,7,4,6,5,6,9,5,1,Science,Data Scientist,Nurse,Doctor
1,0,0,0,0,7,4,5,10,6,5,3,1,Commerce,Data Scientist,Graphic Designer,Entrepreneur
1,0,0,0,0,9,9,5,7,10,2,2,1,Arts,Data Scientist,Judge,Author
1,0,0,0,0,9,4,6,9,5,6,9,1,Science,Data Scientist,Corporate Lawyer,Physiotherapist
1,0,0,0,0,8,5,3,5,8,1,6,0,Arts,Data Scientist,Entrepreneur,Product Designer
1,0,0,0,0,5,9,8,4,5,3,9,1,Arts,Data Scientist,Marketing Manager,Psychiatrist
1,0,0,0,0,10,10,5,5,8,1,8,1,Commerce,Data Scientist,Author,Software Engineer
1,0,0,0,0,6,3,3,5,10,2,5,1,Science,Data Scientist,Marketing Manager,Data Scientist
1,0,0,0,0,5,6,3,10,10,1,1,0,Science,Data Scientist,Data Scientist,Software Engineer
1,0,0,0,0,3,7,4,5,3,3,10,1,Commerce,Data Scientist,Copywriter,Pharmacist
1,0,0,0,0,6,6,9,3,5,4,5,1,Arts,Data Scientist,Copywriter,Content Writer
1,0,0,0,0,10,7,7,8,4,2,6,1,Commerce,Data Scientist,Fashion Designer,Accountant
1,0,0,0,0,4,3,9,9,4,4,3,1,Arts,Data Scientist,Dentist,Cloud Engineer
1,0,0,0,0,7,5,8,10,3,6,3,0,Commerce,Data Scientist,Product Designer,Surgeon
1,0,0,0,0,6,9,6,7,4,2,7,1,Arts,Data Scientist,Content Writer,Neurologist
1,0,0,0,0,8,8,5,6,9,5,8,0,Arts,Data Scientist,Copywriter,Pharmacist
1,0,0,0,0,6,6,5,10,4,1,8,0,Arts,Data Scientist,Surgeon,Dentist
1,0,0,0,0,3,10,4,9,7,10,10,0,Commerce,Data Scientist,AI Engineer,Radiologist
1,0,0,0,0,3,8,7,4,7,9,9,0,Science,Data Scientist,Psychiatrist,Neurologist
1,0,0,0,0,7,4,8,7,3,6,5,1,Commerce,Data Scientist,Cloud Engineer,Psychiatrist
1,0,0,0,0,6,7,3,6,9,5,1,0,Science,Data Scientist,Cardiologist,Accountant
1,0,0,0,0,3,5,9,4,8,3,2,0,Science,Data Scientist,Dentist,Product Designer
1,0,0,0,0,3,4,4,7,6,5,10,1,Commerce,Data Scientist,Surgeon,Graphic Designer
1,0,0,0,0,9,6,9,9,7,8,6,1,Arts,Data Scientist,Data Scientist,Corporate Lawyer
1,0,0,0,0,3,3,3,9,4,1,2,1,Science,Data Scientist,Doctor,UI/UX Designer
1,0,0,0,0,10,4,6,9,6,4,4,0,Science,Data Scientist,Data Scientist,Lawyer
1,0,0,0,0,5,4,6,6,6,4,8,1,Commerce,Data Scientist,Copywriter,Animator
1,0,0,0,0,6,9,3,10,7,10,5,0,Commerce,Data Scientist,Product Designer,Doctor
1,0,0,0,0,9,8,9,5,5,3,7,1,Science,Data Scientist,Surgeon,Software Engineer
1,0,0,0,0,7,5,10,6,3,5,4,1,Arts,Data Scientist,Corporate Lawyer,Author
1,0,0,0,0,10,5,6,4,9,5,7,1,Commerce,Data Scientist,Doctor,Accountant
1,0,0,0,0,9,7,8,4,9,10,8,1,Commerce,Data Scientist,Pharmacist,Legal Advisor
1,0,0,0,0,5,3,10,5,10,7,3,1,Arts,Data Scientist,Public Prosecutor,Author
1,0,0,0,0,4,6,3,9,8,6,7,1,Commerce,Data Scientist,Data Scientist,Product Designer
1,0,0,0,0,8,6,10,6,8,7,4,1,Commerce,Data Scientist,Doctor,Software Engineer
1,0,0,0,0,5,6,3,10,5,8,4,0,Science,Data Scientist,Nurse,Data Scientist
1,0,0,0,0,10,7,6,4,5,6,8,1,Commerce,Data Scientist,UI/UX Designer,Editor
1,0,0,0,0,8,8,10,10,9,4,3,1,Commerce,Data Scientist,Copywriter,Cloud Engineer
1,0,0,0,0,6,10,8,7,4,2,2,0,Commerce,Data Scientist,Animator,Editor
1,0,0,0,0,8,9,7,3,6,9,6,1,Commerce,Data Scientist,Graphic Designer,Marketing Manager
1,0,0,0,0,6,3,4,4,6,8,8,1,Commerce,AI Engineer,Surgeon,Data Scientist
1,0,0,0,0,8,7,4,8,6,9,8,0,Commerce,AI Engineer,Marketing Manager,Editor
1,0,0,0,0,9,5,8,3,6,9,1,1,Commerce,AI Engineer,Accountant,Radiologist
1,0,0,0,0,3,3,9,10,8,10,7,0,Commerce,AI Engineer,Accountant,Neurologist
1,0,0,0,0,3,5,7,6,10,6,5,1,Science,AI Engineer,Pharmacist,UI/UX Designer
1,0,0,0,0,10,3,3,5,6,7,4,1,Commerce,AI Engineer,Data Scientist,Accountant
1,0,0,0,0,3,9,4,8,8,10,10,0,Arts,AI Engineer,Web Developer,Legal Advisor
1,0,0,0,0,9,6,7,10,9,4,10,1,Arts,AI Engineer,Copywriter,Physiotherapist
1,0,0,0,0,10,6,10,8,8,6,6,0,Science,AI Engineer,Software Engineer,Judge
1,0,0,0,0,10,7,9,5,4,2,2,0,Science,AI Engineer,Cardiologist,Entrepreneur
1,0,0,0,0,4,7,8,3,3,10,10,0,Commerce,AI Engineer,Copywriter,Accountant
1,0,0,0,0,6,10,8,7,4,5,7,0,Commerce,AI Engineer,Accountant,AI Engineer
1,0,0,0,0,7,5,7,9,7,4,4,1,Science,AI Engineer,Dentist,Marketing Manager
1,0,0,0,0,7,4,9,3,9,8,8,1,Science,AI Engineer,Physiotherapist,Business Analyst
1,0,0,0,0,9,5,3,4,4,3,4,0,Arts,AI Engineer,AI Engineer,Surgeon
1,0,0,0,0,6,10,9,10,4,2,8,0,Commerce,AI Engineer,Journalist,Judge
1,0,0,0,0,9,9,7,10,6,4,5,0,Science,AI Engineer,Manager,Doctor
1,0,0,0,0,9,4,3,10,4,2,9,1,Arts,AI Engineer,Physiotherapist,Editor
1,0,0,0,0,4,3,3,9,5,1,5,1,Science,AI Engineer,Lawyer,Neurologist
1,0,0,0,0,9,4,3,7,7,2,5,1,Arts,AI Engineer,AI Engineer,Cloud Engineer
1,0,0,0,0,5,3,3,5,3,2,7,1,Arts,AI Engineer,Public Prosecutor,Graphic Designer
1,0,0,0,0,4,4,8,6,5,8,4,0,Arts,AI Engineer,Judge,AI Engineer
1,0,0,0,0,3,8,3,4,9,7,6,0,Arts,AI Engineer,Data Scientist,Judge
1,0,0,0,0,10,7,3,8,10,8,4,1,Commerce,AI Engineer,Cloud Engineer,Data Scientist
1,0,0,0,0,4,7,6,7,7,2,2,0,Commerce,AI Engineer,Software Engineer,Marketing Manager
1,0,0,0,0,3,8,4,6,3,5,9,1,Science,AI Engineer,Nurse,AI Engineer
1,0,0,0,0,3,9,10,5,4,2,10,0,Commerce,AI Engineer,Corporate Lawyer,Doctor
1,0,0,0,0,4,7,6,6,8,2,2,0,Commerce,AI Engineer,Journalist,Surgeon
1,0,0,0,0,6,7,7,5,4,9,6,0,Arts,AI Engineer,Editor,Corporate Lawyer
1,0,0,0,0,9,7,10,10,6,10,2,0,Arts,AI Engineer,Nurse,Product Designer
1,0,0,0,0,7,7,7,9,10,4,5,0,Science,AI Engineer,Author,Fashion Designer
1,0,0,0,0,10,4,6,6,9,9,2,0,Science,AI Engineer,Accountant,Animator
1,0,0,0,0,6,3,7,5,4,8,4,1,Arts,AI Engineer,AI Engineer,Pharmacist
1,0,0,0,0,8,6,9,8,8,1,1,1,Science,AI Engineer,Product Designer,Business Analyst
1,0,0,0,0,5,4,10,6,8,5,3,0,Commerce,AI Engineer,Entrepreneur,Fashion Designer
1,0,0,0,0,5,3,10,9,5,9,7,0,Commerce,AI Engineer,Dentist,Public Prosecutor
1,0,0,0,0,4,10,5,3,8,4,2,0,Arts,AI Engineer,UI/UX Designer,Business Analyst
1,0,0,0,0,10,7,6,3,8,3,3,1,Arts,AI Engineer,Author,Cloud Engineer
1,0,0,0,0,3,8,10,6,5,8,5,1,Science,AI Engineer,Doctor,Neurologist
1,0,0,0,0,9,10,5,8,7,7,3,1,Arts,AI Engineer,Copywriter,Content Writer
1,0,0,0,0,3,5,4,8,10,10,10,0,Commerce,AI Engineer,Physiotherapist,Surgeon
1,0,0,0,0,10,3,6,8,9,3,10,1,Arts,AI Engineer,Accountant,Nurse
1,0,0,0,0,5,5,5,7,10,7,4,0,Commerce,AI Engineer,Copywriter,UI/UX Designer
1,0,0,0,0,10,4,10,5,8,7,10,0,Arts,AI Engineer,Legal Advisor,Accountant
1,0,0,0,0,3,7,4,3,6,6,4,0,Commerce,AI Engineer,Entrepreneur,Radiologist
1,0,0,0,0,9,7,4,7,4,10,2,1,Commerce,AI Engineer,Cardiologist,Journalist
1,0,0,0,0,4,4,10,6,8,10,2,1,Arts,AI Engineer,Surgeon,Content Writer
1,0,0,0,0,9,4,8,9,7,1,3,1,Science,AI Engineer,Corporate Lawyer,Web Developer
1,0,0,0,0,10,7,8,9,9,8,10,1,Arts,AI Engineer,Graphic Designer,Animator
1,0,0,0,0,8,3,5,10,5,10,1,1,Commerce,AI Engineer,Public Prosecutor,Marketing Manager
1,0,0,0,0,6,9,7,3,7,6,8,0,Science,AI Engineer,Web Developer,Marketing Manager
1,0,0,0,0,10,7,4,6,6,7,10,1,Arts,AI Engineer,Radiologist,Public Prosecutor
1,0,0,0,0,3,5,7,9,4,5,9,0,Science,AI Engineer,Animator,Public Prosecutor
1,0,0,0,0,8,7,8,3,10,2,5,1,Arts,AI Engineer,Fashion Designer,Neurologist
1,0,0,0,0,7,7,3,10,3,7,2,1,Arts,AI Engineer,Marketing Manager,Entrepreneur
1,0,0,0,0,10,10,6,7,6,5,5,0,Science,AI Engineer,Web Developer,Corporate Lawyer
1,0,0,0,0,4,7,5,4,9,8,10,1,Science,AI Engineer,Web Developer,Dentist
1,0,0,0,0,6,3,5,7,3,6,5,0,Arts,AI Engineer,UI/UX Designer,Physiotherapist
1,0,0,0,0,7,8,5,7,6,2,8,1,Arts,AI Engineer,Content Writer,Pharmacist
1,0,0,0,0,7,10,10,10,10,7,2,1,Arts,AI Engineer,Psychiatrist,Web Developer
1,0,0,0,0,9,7,8,6,8,6,5,0,Science,Web Developer,Product Designer,Entrepreneur
1,0,0,0,0,5,6,3,8,9,4,1,0,Commerce,Web Developer,Surgeon,Business Analyst
1,0,0,0,0,4,3,9,9,6,5,1,0,Arts,Web Developer,Doctor,Software Engineer
1,0,0,0,0,7,5,3,3,3,4,8,0,Commerce,Web Developer,Surgeon,Doctor
1,0,0,0,0,10,8,8,5,4,9,6,0,Commerce,Web Developer,Cloud Engineer,Dentist
1,0,0,0,0,10,3,10,5,5,8,7,0,Commerce,Web Developer,Accountant,Nurse
1,0,0,0,0,9,10,6,5,9,6,6,1,Commerce,Web Developer,Content Writer,Marketing Manager
1,0,0,0,0,8,4,5,6,7,8,10,0,Arts,Web Developer,Lawyer,Judge
1,0,0,0,0,7,4,7,5,4,4,2,0,Science,Web Developer,Software Engineer,Cardiologist
1,0,0,0,0,10,6,6,3,3,6,10,0,Arts,Web Developer,Legal Advisor,Graphic Designer
1,0,0,0,0,3,8,8,3,3,9,4,1,Science,Web Developer,Neurologist,Animator
1,0,0,0,0,7,8,10,4,4,2,9,1,Science,Web Developer,Accountant,Editor
1,0,0,0,0,4,8,6,3,4,6,1,1,Science,Web Developer,Graphic Designer,Product Designer
1,0,0,0,0,5,10,3,5,8,2,3,0,Science,Web Developer,Business Analyst,Dentist
1,0,0,0,0,6,5,9,3,3,8,3,0,Science,Web Developer,Dentist,Copywriter
1,0,0,0,0,7,9,7,7,9,7,8,1,Arts,Web Developer,Manager,Radiologist
1,0,0,0,0,3,7,7,8,5,8,8,0,Arts,Web Developer,UI/UX Designer,Entrepreneur
1,0,0,0,0,10,3,10,9,9,8,6,1,Commerce,Web Developer,Cybersecurity Analyst,Content Writer
1,0,0,0,0,7,10,10,9,3,6,6,1,Science,Web Developer,Accountant,Web Developer
1,0,0,0,0,9,8,9,6,8,9,8,0,Arts,Web Developer,Product Designer,UI/UX Designer
1,0,0,0,0,10,3,5,5,9,1,5,0,Science,Web Developer,AI Engineer,Legal Advisor
1,0,0,0,0,6,3,4,5,10,9,3,0,Arts,Web Developer,Entrepreneur,Manager
1,0,0,0,0,7,7,4,5,9,4,10,0,Science,Web Developer,AI Engineer,Entrepreneur
1,0,0,0,0,8,5,4,7,7,4,1,0,Arts,Web Developer,Doctor,Corporate Lawyer
1,0,0,0,0,10,6,10,4,7,4,8,0,Arts,Web Developer,Public Prosecutor,Psychiatrist
1,0,0,0,0,8,7,4,3,3,9,5,1,Commerce,Web Developer,Product Designer,Copywriter
1,0,0,0,0,5,3,7,5,3,8,2,0,Commerce,Web Developer,Cloud Engineer,Content Writer
1,0,0,0,0,5,4,10,7,10,5,8,1,Arts,Web Developer,Author,UI/UX Designer
1,0,0,0,0,7,5,3,5,10,3,1,0,Science,Web Developer,Editor,Copywriter
1,0,0,0,0,3,10,5,10,6,9,8,1,Arts,Web Developer,Judge,Surgeon
1,0,0,0,0,5,9,10,9,9,10,2,0,Science,Web Developer,Journalist,Graphic Designer
1,0,0,0,0,4,6,10,4,10,3,8,0,Arts,Web Developer,Manager,Journalist
1,0,0,0,0,4,3,9,10,8,8,5,0,Commerce,Web Developer,Graphic Designer,Psychiatrist
1,0,0,0,0,7,6,4,10,4,3,4,0,Commerce,Web Developer,Software Engineer,UI/UX Designer
1,0,0,0,0,4,6,6,5,6,7,8,0,Science,Web Developer,Cardiologist,Lawyer
1,0,0,0,0,7,8,4,8,7,10,9,0,Commerce,Web Developer,Accountant,Nurse
1,0,0,0,0,7,4,3,4,6,5,4,0,Science,Web Developer,Data Scientist,Accountant
1,0,0,0,0,8,3,7,3,3,6,10,0,Science,Web Developer,Editor,Marketing Manager
1,0,0,0,0,8,5,8,8,10,2,5,0,Arts,Web Developer,Product Designer,Animator
1,0,0,0,0,7,10,8,10,7,2,5,1,Commerce,Web Developer,Psychiatrist,UI/UX Designer
1,0,0,0,0,7,9,10,5,5,8,4,0,Commerce,Web Developer,Marketing Manager,Web Developer
1,0,0,0,0,3,7,7,9,4,7,2,1,Commerce,Web Developer,Software Engineer,Marketing Manager
1,0,0,0,0,10,8,3,9,10,7,5,1,Commerce,Web Developer,Dentist,Accountant
1,0,0,0,0,8,6,5,3,5,3,9,0,Science,Web Developer,Lawyer,Copywriter
1,0,0,0,0,5,6,3,5,4,1,9,0,Science,Web Developer,Product Designer,Pharmacist
1,0,0,0,0,10,4,6,10,3,10,2,0,Science,Web Developer,Cloud Engineer,Physiotherapist
1,0,0,0,0,8,3,8,7,8,8,10,1,Arts,Web Developer,Fashion Designer,Animator
1,0,0,0,0,10,3,7,3,7,4,10,1,Arts,Web Developer,Graphic Designer,Manager
1,0,0,0,0,8,8,8,10,8,9,6,0,Science,Web Developer,Business Analyst,Doctor
1,0,0,0,0,8,7,7,3,10,6,3,1,Commerce,Web Developer,Copywriter,Accountant
1,0,0,0,0,4,4,10,8,5,5,9,1,Commerce,Web Developer,Product Designer,Radiologist
1,0,0,0,0,5,4,4,10,9,3,4,1,Science,Web Developer,Software Engineer,Business Analyst
1,0,0,0,0,3,10,5,6,10,10,10,0,Arts,Web Developer,Editor,Dentist
1,0,0,0,0,10,3,6,9,3,6,6,1,Arts,Web Developer,Public Prosecutor,UI/UX Designer
1,0,0,0,0,6,6,8,6,6,1,7,1,Commerce,Web Developer,Animator,Content Writer
1,0,0,0,0,7,4,10,7,6,6,3,0,Arts,Web Developer,Manager,Journalist
1,0,0,0,0,4,9,8,7,3,2,8,0,Arts,Web Developer,Nurse,Business Analyst
1,0,0,0,0,10,6,9,10,3,6,7,1,Science,Web Developer,Editor,Pharmacist
1,0,0,0,0,8,9,5,5,4,9,8,1,Science,Web Developer,Marketing Manager,Accountant
1,0,0,0,0,4,8,10,4,3,10,2,0,Arts,Web Developer,Fashion Designer,Dentist
0,0,0,0,0,10,10,6,5,9,10,5,0,Arts,Cybersecurity Analyst,Pharmacist,Author
0,0,0,0,0,6,8,5,9,8,3,4,0,Science,Cybersecurity Analyst,Data Scientist,Physiotherapist
0,0,0,0,0,7,7,9,10,4,3,7,1,Arts,Cybersecurity Analyst,Nurse,Author
0,0,0,0,0,6,8,8,8,5,2,10,1,Science,Cybersecurity Analyst,Marketing Manager,Psychiatrist
0,0,0,0,0,3,8,3,10,10,4,7,1,Science,Cybersecurity Analyst,Business Analyst,Animator
0,0,0,0,0,10,7,9,5,10,10,7,0,Arts,Cybersecurity Analyst,Manager,Entrepreneur
0,0,0,0,0,10,5,5,10,3,4,3,1,Commerce,Cybersecurity Analyst,Cardiologist,Radiologist
0,0,0,0,0,4,3,4,6,8,1,4,1,Arts,Cybersecurity Analyst,Accountant,Judge
0,0,0,0,0,9,9,8,7,6,2,2,0,Arts,Cybersecurity Analyst,Physiotherapist,Entrepreneur
0,0,0,0,0,9,5,9,7,7,4,1,1,Arts,Cybersecurity Analyst,Nurse,Psychiatrist
0,0,0,0,0,10,5,10,4,4,7,6,1,Science,Cybersecurity Analyst,Nurse,Data Scientist
0,0,0,0,0,8,7,10,4,5,3,7,0,Commerce,Cybersecurity Analyst,Dentist,Psychiatrist
0,0,0,0,0,4,10,3,3,5,2,7,1,Arts,Cybersecurity Analyst,Manager,Nurse
0,0,0,0,0,6,6,10,4,7,4,5,0,Arts,Cybersecurity Analyst,Physiotherapist,Software Engineer
0,0,0,0,0,5,4,10,3,10,5,2,1,Commerce,Cybersecurity Analyst,Product Designer,Neurologist
0,0,0,0,0,8,6,7,5,3,2,6,1,Commerce,Cybersecurity Analyst,Cybersecurity Analyst,Dentist
0,0,0,0,0,10,9,5,6,8,5,1,0,Arts,Cybersecurity Analyst,Cardiologist,Marketing Manager
0,0,0,0,0,4,6,8,6,8,2,7,1,Arts,Cybersecurity Analyst,Neurologist,Legal Advisor
0,0,0,0,0,6,8,8,5,7,5,6,1,Commerce,Cybersecurity Analyst,Graphic Designer,Corporate Lawyer
0,0,0,0,0,10,8,3,10,7,1,3,1,Commerce,Cybersecurity Analyst,Content Writer,Software Engineer
0,0,0,0,0,7,6,7,6,5,2,9,0,Arts,Cybersecurity Analyst,Manager,Psychiatrist
0,0,0,0,0,6,6,4,6,10,3,5,1,Science,Cybersecurity Analyst,Legal Advisor,Business Analyst
0,0,0,0,0,9,5,7,7,5,6,2,0,Commerce,Cybersecurity Analyst,Data Scientist,Surgeon
0,0,0,0,0,4,3,5,8,4,7,1,0,Commerce,Cybersecurity Analyst,Accountant,Journalist
0,0,0,0,0,5,7,6,9,6,7,1,1,Science,Cybersecurity Analyst,Legal Advisor,Web Developer
0,0,0,0,0,5,9,4,8,4,2,2,0,Science,Cybersecurity Analyst,Content Writer,Pharmacist
0,0,0,0,0,8,7,8,7,8,2,10,1,Science,Cybersecurity Analyst,Pharmacist,Data Scientist
0,0,0,0,0,5,5,6,3,8,8,1,0,Commerce,Cybersecurity Analyst,Doctor,Corporate Lawyer
0,0,0,0,0,8,4,9,10,7,8,8,0,Science,Cybersecurity Analyst,Manager,Corporate Lawyer
0,0,0,0,0,10,6,9,5,7,5,10,0,Commerce,Cybersecurity Analyst,Animator,Content Writer
0,0,0,0,0,10,7,5,7,9,6,8,1,Arts,Cybersecurity Analyst,Author,Manager
0,0,0,0,0,10,4,6,7,9,5,10,1,Commerce,Cybersecurity Analyst,Cybersecurity Analyst,Accountant
0,0,0,0,0,6,3,10,9,6,2,2,0,Arts,Cybersecurity Analyst,Graphic Designer,Nurse
